ISSUER_NAME,MEETING_DATE,MEETING_TYPE,COUNTRY_A2,PROPOSAL_NUMBER,PROPOSAL_SUB_NUMBER,PROPOSAL_LABEL,PROPOSAL_TYPE_CODE,PROPOSAL_TEXT,PROPOSAL_LONGTEXT,RP_PROXY_ID,RP_PROPOSAL_ID,CREATED_DT,VP_Issue_Code,Research_Issue_Code,Proposal_Name
Jazeera Airways Co. K.S.C,2024-03-20 11:00:00,A,"KW        ",7,0,7,P,Allocation of Profits to Statutory Reserves,APPROVE TRANSFER OF 10 PERCENT OF NET INCOME TO STATUTORY RESERVE,434335,4230537,2024-02-23 02:34:00,5000,5000,Allocation of Profits to Statutory Reserves
Kuwait Financial Centre,2024-03-19 11:00:00,A,"KW        ",2,0,2,P,Auditors' Report,APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR THE FISCAL YEAR  ENDED 31/12/2023,434315,4230614,2024-02-23 02:34:00,5030,5030,Auditors' Report
Dignitana AB,2024-03-12 15:00:00,S,"SE        ",11,0,7,P,Rights Issue,APPROVE CREATION OF SEK 1 MILLION POOL OF CAPITAL WITH PREEMPTIVE RIGHTS,440857,4231682,2024-02-23 02:34:00,5801,5801,Rights Issue
Kuwait Finance House,2024-03-18 13:00:00,O,"KW        ",5,0,5,P,Presentation of Report on Penalties,APPROVE SPECIAL REPORT IN FINANCIAL AND NON-FINANCIAL PENALTIES,434307,4230996,2024-02-23 02:34:00,5759,5759,Presentation of Report on Penalties
Kuwait Finance House,2024-03-18 13:00:00,O,"KW        ",14,0,14,P,Ratification of Board Acts,APPROVE DISCHARGE OF DIRECTORS FOR THE FISCAL YEAR ENDED 31/12/2023,434307,4231005,2024-02-23 02:34:00,5700,5700,Ratification of Board Acts
Banco Bilbao Vizcaya Argentaria.,2024-03-15 00:00:00,A,"US        ",5,0,2.1,P,Elect José Miguel Andrés Torrecillas,Re-election of José Miguel Andrés Torrecillas.,430390,4223076,2024-02-23 02:34:00,5100,5100,Elect José Miguel Andrés Torrecillas
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",4,0,S.4,P,Amendments to Article 5 (Corporate Purpose),AMEND ARTICLE 5 RE: CORPORATE PURPOSE,420063,4224699,2024-02-23 02:34:00,6185,6185,Amendments to Article 5 (Corporate Purpose)
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",6,0,S.6,P,Amendments to Article 7 (Chair's Age),AMEND ARTICLE 7,420063,4224701,2024-02-23 02:34:00,6180,6180,Amendments to Article 7 (Chair's Age)
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",31,0,A.4.4,P,Elect Milton Matsumoto,ELECT MILTON MATSUMOTO AS DIRECTOR,420063,4224668,2024-02-23 02:34:00,5100,5100,Elect Milton Matsumoto
Zinus Inc,2024-03-21 10:00:00,A,"KR        ",3,0,3,P,Directors' Fees,APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,425267,4229881,2024-02-23 02:34:00,5500,5500,Directors' Fees
KG Mobility,2024-03-26 09:00:00,A,"KR        ",1,0,1,P,Financial Statements and Allocation of Profits/Dividends,APPROVAL OF FINANCIAL STATEMENT,426329,4229682,2024-02-23 02:34:00,5031,5031,Financial Statements and Allocation of Profits/Dividends
Kuwait Financial Centre,2024-03-19 11:00:00,A,"KW        ",3,0,3,P,Financial Statements,ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR THE FISCAL YEAR ENDED   31/12/2023,434315,4230615,2024-02-23 02:34:00,5030,5030,Financial Statements
Kuwait Financial Centre,2024-03-19 11:00:00,A,"KW        ",14,0,13,P,Related Party Transactions,RATIFY RELATED PARTY TRANSACTIONS FOR THE FISCAL YEAR ENDED 31/12/2023 AND    AUTHORIZE BOARD TO CONDUCT RELATED PARTY TRANSACTIONS UNTIL THE NEXT GENERAL  ASSEMBLY MEETING DATE FOR THE FISCAL YEAR ENDING 31/12/2024,434315,4230651,2024-02-23 02:34:00,5740,5740,Related Party Transactions
Kuwait Finance House,2024-03-18 13:00:00,O,"KW        ",9,0,9,P,Allocation of Profits to Statutory and Voluntary Reserves,APPROVE TRANSFER OF 10 PERCENT OF NET INCOME TO STATUTORY AND 10 PERCENT OF   NET INCOME TO OPTIONAL RESERVE,434307,4231000,2024-02-23 02:34:00,5000,5000,Allocation of Profits to Statutory and Voluntary Reserves
YIT Oyj,2024-03-14 11:00:00,A,"FI        ",12,0,8,P,Allocation of Profits/Dividends,RESOLUTION ON THE MEASURES WARRANTED BY THE PROFIT SHOWN ON THE ADOPTED       BALANCE SHEET AND THE DISTRIBUTION OF DIVIDEND: THE BOARD OF DIRECTORS        PROPOSES THAT NO DIVIDEND BE PAID BASED ON THE BALANCE SHEET TO BE ADOPTED    FOR THE FINANCIAL YEAR 2023,431550,4228364,2024-02-23 02:34:00,5000,5000,Allocation of Profits/Dividends
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",11,0,S.11,P,Amendments to Article 9 m (Board Duties),AMEND ARTICLE 9 RE: REMOVE LETTER M,420063,4224706,2024-02-23 02:34:00,6180,6180,Amendments to Article 9 m (Board Duties)
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",20,0,S.20,P,Amendments to Article 14 (Management Board Duties),AMEND ARTICLE 14,420063,4224715,2024-02-23 02:34:00,6180,6180,Amendments to Article 14 (Management Board Duties)
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",28,0,A.4.1,P,Elect Luiz Carlos Trabuco Cappi,ELECT LUIZ CARLOS TRABUCO CAPPI AS DIRECTOR,420063,4224665,2024-02-23 02:34:00,5100,5100,Elect Luiz Carlos Trabuco Cappi
Axtel S.A.B. DE C.V.,2024-03-08 10:00:00,S,"MX        ",1,0,1,P,Authority to Cancel Treasury Shares,"PRESENTATION AND, WHERE APPLICABLE, APPROVAL OF A PROPOSAL TO CARRY OUT THE   CANCELLATION OF 45,000 TREASURY SHARES FROM THE ISSUE DATED JANUARY 25TH,     2013 TO SUPPORT THE CONVERSIONS OF CONVERTIBLE OBLIGATIONS, WHOSE HOLDERS DID NOT EXERCISE THE CORPORATE RIGHT OF CONVERSION, AND TO THAT END TAKE THE      RESOLUTIONS OF THE CASE",420441,4231465,2024-02-23 02:34:00,5820,5820,Authority to Cancel Treasury Shares
Orion Holdings,2024-03-21 11:00:00,A,"KR        ",3,0,3.1,P,Elect HUR Inn Chul,ELECTION OF INSIDE DIRECTOR: HEO IN CHEOL,425262,4229693,2024-02-23 02:34:00,5100,5100,Elect HUR Inn Chul
Zinus Inc,2024-03-21 10:00:00,A,"KR        ",1,0,1,P,"Financial Statements and Allocation of Profits/Dividends
",APPROVAL OF FINANCIAL STATEMENT,425267,4229879,2024-02-23 02:34:00,5031,5031,"Financial Statements and Allocation of Profits/Dividends
"
Kortek Corporation,2024-03-26 09:00:00,A,"KR        ",2,0,2.1,P,Elect KIM Young Dal,ELECTION OF INSIDE DIRECTOR KIM YOUNG DAL,428743,4229536,2024-02-23 02:34:00,5100,5100,Elect KIM Young Dal
Talenom Plc,2024-03-14 10:00:00,A,"FI        ",18,0,15,P,Appointment of Auditor,RATIFY KPMG AS AUDITOR,431549,4231483,2024-02-23 02:34:00,5200,5200,Appointment of Auditor
Universe The CMI Global Network Fund SICAV - Japan,2024-02-29 14:30:00,A,"LU        ",5,0,4.A,P,Election of Directors (Slate),"STATUTORY APPOINTMENTS: RENEWAL OF THE APPOINTMENT OF BRUNO DURIEUX, JUAN     CLARKE, IAIN MCGOWAN, JACQUES ELVINGER, GODFREY ABEL AND JEAN-PHILIPPE        CLAESSENS AS DIRECTORS OF THE COMPANY, UNTIL NEXT ANNUAL GENERAL MEETING OF   THE SHAREHOLDERS",441011,4231608,2024-02-23 02:34:00,5101,5101,Election of Directors (Slate)
Kuwait Financial Centre,2024-03-19 11:00:00,A,"KW        ",11,0,10,P,Directors' Fees,"APPROVE REMUNERATION OF DIRECTORS OF KWD 84,000 FOR THE FISCAL YEAR ENDED     31/12/2023",434315,4230622,2024-02-23 02:34:00,5500,5500,Directors' Fees
Kuwait Finance House,2024-03-18 13:00:00,O,"KW        ",4,0,4,P,Presentation of External Sharia Auditor's Report,APPROVE EXTERNAL SHARIAH AUDITOR REPORT FOR THE FISCAL YEAR ENDED 31/12/2023,434307,4230995,2024-02-23 02:34:00,5759,5759,Presentation of External Sharia Auditor's Report
Banco Bilbao Vizcaya Argentaria.,2024-03-15 00:00:00,A,"US        ",4,0,1.4,P,Ratification of Board Acts,Approval of the corporate management during the 2023 financial year.,430390,4223075,2024-02-23 02:34:00,5700,5700,Ratification of Board Acts
YIT Oyj,2024-03-14 11:00:00,A,"FI        ",17,0,13,P,Board Size,"RESOLUTION ON THE NUMBER OF MEMBERS OF THE BOARD OF DIRECTORS: THE            SHAREHOLDERS  NOMINATION BOARD PROPOSES THAT A CHAIRMAN, A VICE CHAIRMAN AND  FOUR (4) ORDINARY MEMBERS BE ELECTED TO THE COMPANY S BOARD OF DIRECTORS",431550,4228367,2024-02-23 02:34:00,5170,5170,Board Size
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",15,0,S.15,P,"Amendments to Article 12, Paragraph 1 (Management Board)",AMEND ARTICLE 12 RE: PARAGRAPH 1,420063,4224710,2024-02-23 02:34:00,6180,6180,"Amendments to Article 12, Paragraph 1 (Management Board)"
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",16,0,S.16,P,"Amendments to Article 12, Paragraph 2 (Management Board)",AMEND ARTICLE 12 RE: REMOVE PARAGRAPH 2,420063,4224711,2024-02-23 02:34:00,6180,6180,"Amendments to Article 12, Paragraph 2 (Management Board)"
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",25,0,A.1,P,Accounts and Reports,"ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR FISCAL YEAR ENDED DEC.  31, 2023",420063,4224660,2024-02-23 02:34:00,5030,5030,Accounts and Reports
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",37,0,A.410,P,Elect Denise Pauli Pavarina,ELECT DENISE PAULI PAVARINA AS INDEPENDENT DIRECTOR,420063,4224674,2024-02-23 02:34:00,5100,5100,Elect Denise Pauli Pavarina
Kuwait Finance House,2024-03-18 13:30:00,S,"KW        ",1,0,1,P,Authority to Increase Capital for Bonus Share Issuance,"AUTHORIZE INCREASE OF AUTHORIZED , ISSUED, AND PAID UP CAPITAL BY ISSUING     BONUS SHARES REPRESENTING 9 PERCENT OF CAPITAL AND AUTHORIZE THE BOARD TO     DISPOSE SHARES FRACTIONS AND AMEND TIMELINE",434307,4231011,2024-02-23 02:34:00,5010,5010,Authority to Increase Capital for Bonus Share Issuance
Kortek Corporation,2024-03-26 09:00:00,A,"KR        ",6,0,4,P,Directors' Fees,APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,428743,4229540,2024-02-23 02:34:00,5500,5500,Directors' Fees
Talenom Plc,2024-03-14 10:00:00,A,"FI        ",12,0,9,P,Ratification of Board and CEO Acts,APPROVE DISCHARGE OF BOARD AND PRESIDENT,431549,4231477,2024-02-23 02:34:00,5700,5700,Ratification of Board and CEO Acts
Amlak Finance,2024-03-18 13:00:00,A,"AE        ",2,0,1,P,"Update on the Existing Business and the Results of the Financial Advisers Analysis ","UPDATING THE SHAREHOLDERS ON THE EXISTING BUSINESS AND THE RESULTS OF THE     ANALYSIS PROVIDED BY THE FINANCIAL ADVISERS REGARDING THE COMMERCIAL          OPERATIONS FUTURE, AND TO MAKE THE NECESSARY DECISIONS",440913,4231613,2024-02-23 02:34:00,6395,6395,"Update on the Existing Business and the Results of the Financial Advisers Analysis "
Air Arabia,2024-03-15 11:00:00,A,"AE        ",8,0,8,P,Appointment of Auditor and Authority to Set Fees,APPOINT AUDITORS AND FIX THEIR REMUNERATION FOR FY 2024,435319,4230560,2024-02-23 02:34:00,5220,5220,Appointment of Auditor and Authority to Set Fees
Hanwha Ocean,2024-03-21 10:00:00,A,"KR        ",3,0,3,P,Elect RYU Doo Hyoung,ELECTION OF INSIDE DIRECTOR RYU DOOH YUNG,425215,4229788,2024-02-23 02:34:00,5100,5100,Elect RYU Doo Hyoung
Polar Capital Global Financials Trust Plc,2024-04-18 14:00:00,A,"GB        ",5,0,5,P,Elect Susie Arnott,TO RE-ELECT SUSIE ARNOTT AS A DIRECTOR OF THE COMPANY,439825,4229654,2024-02-23 02:34:00,5100,5100,Elect Susie Arnott
Polar Capital Global Financials Trust Plc,2024-04-18 14:00:00,A,"GB        ",6,0,6,P,Elect Angela Henderson,TO RE-ELECT ANGELA HENDERSON AS A DIRECTOR OF THE COMPANY,439825,4229655,2024-02-23 02:34:00,5100,5100,Elect Angela Henderson
Polar Capital Global Financials Trust Plc,2024-04-18 14:00:00,A,"GB        ",7,0,7,P,Dividend Policy,TO APPROVE THE COMPANY DIVIDEND POLICY,439825,4229656,2024-02-23 02:34:00,5000,5000,Dividend Policy
Universe The CMI Global Network Fund SICAV - Japan,2024-02-29 14:30:00,A,"LU        ",7,0,5,P,Ratification of Board Acts,"GRANTING OF DISCHARGE (QUITUS) TO THE DIRECTORS, INCLUDING THOSE WHO          RESIGNED, IN RESPECT OF THEIR DUTIES CARRIED OUT DURING THE FINANCIAL YEAR",441011,4231610,2024-02-23 02:34:00,5700,5700,Ratification of Board Acts
Shinsegae International,2024-03-20 10:00:00,A,"KR        ",3,0,3,P,Directors' Fees,APPROVAL OF REMUNERATION FOR DIRECTOR,425227,4229422,2024-02-23 02:34:00,5500,5500,Directors' Fees
Banco Bilbao Vizcaya Argentaria.,2024-03-15 00:00:00,A,"US        ",15,0,6.,P,Remuneration Report,"Consultative vote on the Annual Report on the Remuneration of Directors of Banco Bilbao Vizcaya Argentaria, S.A.",430390,4226997,2024-02-23 02:34:00,5600,5600,Remuneration Report
YIT Oyj,2024-03-14 11:00:00,A,"FI        ",14,0,10,P,Remuneration Report,PRESENTATION AND ADOPTION OF THE REMUNERATION REPORT FOR THE COMPANY S        GOVERNING BODIES,431550,4228197,2024-02-23 02:34:00,5600,5600,Remuneration Report
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",17,0,S.17,P,"Amendments to Article 12, Paragraph 2 (Management Board)",AMEND ARTICLE 12 RE: ADD NEW PARAGRAPH 2,420063,4224712,2024-02-23 02:34:00,6180,6180,"Amendments to Article 12, Paragraph 2 (Management Board)"
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",41,0,A.6,P,Approve Recasting of Votes for Amended Supervisory Council Slate,"IN CASE ONE OF THE NOMINEES LEAVES THE FISCAL COUNCIL SLATE DUE TO A SEPARATE MINORITY ELECTION, AS ALLOWED UNDER ARTICLES 161 AND 240 OF THE BRAZILIAN     CORPORATE LAW, MAY YOUR VOTES STILL BE COUNTED FOR THE PROPOSED SLATE",420063,4224689,2024-02-23 02:34:00,5136,5136,Approve Recasting of Votes for Amended Supervisory Council Slate
Chongqing Three Gorges Water Conservancy & Electric Power Co. Ltd.,2024-03-08 14:00:00,S,"CN        ",3,0,3,P,Authority to Give Guarantees,PROVISION OF GUARANTEE FOR A COMPANY,440945,4231825,2024-02-23 02:34:00,5960,5960,Authority to Give Guarantees
Shenzhen Everwin Precision Technology Co. Ltd,2024-03-08 15:30:00,S,"CN        ",1,0,1,P,Transfer of Equity and Waiver of Preemptive Right,TRANSFER OF SOME EQUITIES IN A CONTROLLED SUBSIDIARY AND WAIVER OF THE        PREEMPTIVE RIGHTS FOR CAPITAL INCREASE IN IT,437832,4222810,2024-02-23 02:34:00,6395,6395,Transfer of Equity and Waiver of Preemptive Right
Samsung Biologics Co Ltd,2024-03-15 09:00:00,A,"KR        ",3,0,2,P,Elect SEO Seung Hwan,ELECTION OF OUTSIDE DIRECTOR: SEO SEUNG HWAN,425141,4230335,2024-02-23 02:34:00,5100,5100,Elect SEO Seung Hwan
Banco Bilbao Vizcaya Argentaria.,2024-03-15 00:00:00,A,"US        ",3,0,1.3,P,Allocation of Dividends,Approval of the allocation of results for the 2023 financial year,430390,4223074,2024-02-23 02:34:00,5000,5000,Allocation of Dividends
Banco Bilbao Vizcaya Argentaria.,2024-03-15 00:00:00,A,"US        ",14,0,5.,P,Authorisation of Legal Formalities,"Delegation of powers to the Board of Directors, with the authority to substitute, in order to formalise, amend, interpret and execute the resolutions adopted by the Annual General Meeting.",430390,4223085,2024-02-23 02:34:00,5750,5750,Authorisation of Legal Formalities
Power & Digital Infrastructure Acquisition II Corp,2024-03-12 00:00:00,S,"US        ",1,0,1.,P,Extension Of Business Deadline,"The Extension Amendment Proposal - to amend the amended and restated certificate of incorporation (as the same has been amended prior to the date hereof, the  Certificate ) of Power & Digital Infrastructure Acquisition II Corp. (the  Company ) pursuant to amendments to the Certificate in the form set forth in paragraph 3 of Annex A to the accompanying Proxy Statement (such proposal, the  Extension Amendment Proposal ) to extend the date by which the Company must (1) consummate an initial ...(due to space limits, see proxy material for full proposal).",440865,4231430,2024-02-23 02:34:00,1188,1188,Extension Of Business Deadline
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",30,0,A.4.3,P,Elect Denise Aguiar Alvarez,ELECT DENISE AGUIAR ALVAREZ AS DIRECTOR,420063,4224667,2024-02-23 02:34:00,5100,5100,Elect Denise Aguiar Alvarez
Orion Holdings,2024-03-21 11:00:00,A,"KR        ",6,0,4.1,P,ELECTION OF AUDIT COMMITTEE MEMBER: KIM YOUNG KI,ELECTION OF AUDIT COMMITTEE MEMBER: KIM YOUNG KI,425262,4229697,2024-02-23 02:34:00,5130,5130,Election of Audit Committee Member: KIM Young Ki
Zinus Inc,2024-03-21 10:00:00,A,"KR        ",2,0,2,P,Amendments to Articles,APPROVAL OF PARTIAL AMENDMENT TO ARTICLES OF INCORPORATION,425267,4229880,2024-02-23 02:34:00,6184,6184,Amendments to Articles
Shinsegae Co,2024-03-21 09:00:00,A,"KR        ",5,0,3.3,P,Elect CHOI Nan Seol Heon,ELECTION OF OUTSIDE DIRECTOR CANDIDATES: CHOE NAN SEOL HEON,425264,4229783,2024-02-23 02:34:00,5100,5100,Elect CHOI Nan Seol Heon
Talenom Plc,2024-03-14 10:00:00,A,"FI        ",19,0,16,P,Authority to Repurchase Shares,AUTHORIZE SHARE REPURCHASE PROGRAM,431549,4231484,2024-02-23 02:34:00,5838,5838,Authority to Repurchase Shares
Jazeera Airways Co. K.S.C,2024-03-20 11:00:00,A,"KW        ",2,0,2,P,Auditor's Report,APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR THE FISCAL YEAR  ENDED 31/12/2023,434335,4230532,2024-02-23 02:34:00,5030,5030,Auditor's Report
Kuwait Financial Centre,2024-03-19 11:00:00,A,"KW        ",12,0,11,P,Authority to Repurchase and Reissue Shares,AUTHORIZE SHARE REPURCHASE PROGRAM OF UP TO 10 PERCENT OF ISSUED SHARE        CAPITAL,434315,4230649,2024-02-23 02:34:00,5896,5896,Authority to Repurchase and Reissue Shares
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",2,0,S.2,P,Ratification of Appointment of Appraiser,RATIFY KPMG AUDITORES INDEPENDENTES AS INDEPENDENT FIRM TO APPRAISE PROPOSED  TRANSACTION,420063,4224697,2024-02-23 02:34:00,6201,6201,Ratification of Appointment of Appraiser
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",18,0,S.18,P,"Amendments to Article 13, Paragraph 4 (Management Board Duties)",AMEND ARTICLE 13,420063,4224713,2024-02-23 02:34:00,6180,6180,"Amendments to Article 13, Paragraph 4 (Management Board Duties)"
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",33,0,A.4.6,P,Elect Samuel Monteiro dos Santos Junior,ELECT SAMUEL MONTEIRO DOS SANTOS JUNIOR AS INDEPENDENT DIRECTOR,420063,4224670,2024-02-23 02:34:00,5100,5100,Elect Samuel Monteiro dos Santos Junior
Banco Bradesco S.A.,2024-03-11 16:00:00,Z,"BR        ",40,0,A.5B,P,Elect Mônica Pires da Silva to the Supervisory Council Presented by Minority Shareholders,ELECT MONICA PIRES DA SILVA AS FISCAL COUNCIL MEMBER AND LUDMILA DE MELO      SOUZA AS ALTERNATE APPOINTED BY MINORITY SHAREHOLDER,420063,4224690,2024-02-23 02:34:00,5136,5136,Elect Mônica Pires da Silva to the Supervisory Council Presented by Minority Shareholders
Orion Holdings,2024-03-21 11:00:00,A,"KR        ",5,0,3.3,P,Elect KIM Jong Yang,ELECTION OF OUTSIDE DIRECTOR: KIM JONG YANG,425262,4229695,2024-02-23 02:34:00,5100,5100,Elect KIM Jong Yang
Shinsegae Co,2024-03-21 09:00:00,A,"KR        ",6,0,4,P,Election of Audit Committee Member: CHOI Nan Seol Heon,ELECTION OF AUDIT COMMITTEE MEMBER CANDIDATES: CHOE NAN SEOL HEON,425264,4229784,2024-02-23 02:34:00,5130,5130,Election of Audit Committee Member: CHOI Nan Seol Heon
Chongqing Three Gorges Water Conservancy & Electric Power Co. Ltd.,2024-03-08 14:00:00,S,"CN        ",2,0,2,P,Estimated Continuing Connected Transaction,2024 CONTINUING CONNECTED TRANSACTION PLAN,440945,4231824,2024-02-23 02:34:00,5740,5740,Estimated Continuing Connected Transaction
Hanjin Kal Corp,2024-03-21 09:00:00,A,"KR        ",7,0,5,P,Directors' Fees,APPROVAL OF REMUNERATION FOR DIRECTOR,425217,4229670,2024-02-23 02:34:00,5500,5500,Directors' Fees
Kortek Corporation,2024-03-26 09:00:00,A,"KR        ",1,0,1,P,"Financial Statements and Allocation of Profits/Dividends
",APPROVAL OF FINANCIAL STATEMENT,428743,4229534,2024-02-23 02:34:00,5031,5031,"Financial Statements and Allocation of Profits/Dividends
"
Talenom Plc,2024-03-14 10:00:00,A,"FI        ",16,0,13,P,"Election of Directors ","REELECT HARRI TAHKOLA, MIKKO SIURUAINEN, OLLI HYYPPA, JOHANNES KARJULA, ELINA TOURUNEN, SAMPSA LAINE AND ERIK TAHKOLA AS DIRECTORS",431549,4231481,2024-02-23 02:34:00,5101,5101,"Election of Directors "
Hanwha Ocean,2024-03-21 10:00:00,A,"KR        ",1,0,1,P,"Financial Statements and Allocation of Profits/Dividends
",APPROVAL OF FINANCIAL STATEMENT,425215,4229786,2024-02-23 02:34:00,5031,5031,"Financial Statements and Allocation of Profits/Dividends
"
Polar Capital Global Financials Trust Plc,2024-04-18 14:00:00,A,"GB        ",1,0,1,P,Accounts and Reports,TO RECEIVE AND CONSIDER THE ANNUAL REPORT AND FINANCIAL STATEMENTS FOR THE    YEAR ENDED 30 NOVEMBER 2023,439825,4229650,2024-02-23 02:34:00,5030,5030,Accounts and Reports
Jazeera Airways Co. K.S.C,2024-03-20 11:00:00,A,"KW        ",8,0,8,P,Authority to Discontinue Transfer of Profits to Voluntary Reserves,APPROVE DISCONTINUING ALLOCATION TO THE OPTIONAL RESERVE,434335,4230538,2024-02-23 02:34:00,5844,5844,Authority to Discontinue Transfer of Profits to Voluntary Reserves
Kuwait Financial Centre,2024-03-19 11:00:00,A,"KW        ",17,0,16,P,Appointment of Auditors and Authority to Set Fees,APPOINT OR REAPPOINT AUDITORS AND AUTHORIZE BOARD TO FIX THEIR REMUNERATION   FOR THE FISCAL YEAR ENDING 31/12/2024,434315,4230654,2024-02-23 02:34:00,5220,5220,Appointment of Auditors and Authority to Set Fees
Kuwait Finance House,2024-03-18 13:00:00,O,"KW        ",8,0,8,P,Bonus Share Issuance,AUTHORIZE DISTRIBUTION OF BONUS SHARES OF 9 PERCENT OF THE ISSUED AND PAID UP CAPITAL FOR THE FISCAL YEAR ENDED 31/12/2023 AND AUTHORIZE THE BOARD TO       DISPOSE SHARES FRACTIONS,434307,4230999,2024-02-23 02:34:00,5010,5010,Bonus Share Issuance
Kuwait Finance House,2024-03-18 13:00:00,O,"KW        ",15,0,15,P,Appointment of Auditors and Authority to Set Fees,APPOINT OR REAPPOINT AUDITORS AND AUTHORIZE BOARD TO FIX THEIR REMUNERATION   FOR THE FISCAL YEAR ENDING 31/12/2024,434307,4231006,2024-02-23 02:34:00,5220,5220,Appointment of Auditors and Authority to Set Fees
