ISSUER_NAME,MEETING_DATE,MEETING_TYPE,COUNTRY_A2,PROPOSAL_NUMBER,PROPOSAL_SUB_NUMBER,PROPOSAL_LABEL,PROPOSAL_TYPE_CODE,PROPOSAL_TEXT,PROPOSAL_LONGTEXT,RP_PROXY_ID,RP_PROPOSAL_ID,CREATED_DT,ISSUE_CODE
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,2,0,2,P,Appointment of Pricewaterhousecoopers LLP as auditor,Appointment of Pricewaterhousecoopers LLP as auditor,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,3,0,3,P,To pass an ordinary resolution providing the required annual approval of the Company s Incentive Stock Option Plan.,To pass an ordinary resolution providing the required annual approval of the Company s Incentive Stock Option Plan.,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,4,0,4,P,Shareholder Proposal No. 1,Shareholder Proposal No. 1,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,5,0,5,P,Shareholder Proposal No. 2,Shareholder Proposal No. 2,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,6,0,6,P,To transact such other business that may be brought properly before the Meeting and any adjournment or postponement of the Meeting.,To transact such other business that may be brought properly before the Meeting and any adjournment or postponement of the Meeting.,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,0,1,D,DIRECTOR,DIRECTOR,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,1,1,D,Director 1,Director 1,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,2,1,D,Director 2,Director 2,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,3,1,D,Director 3,Director 3,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,4,1,D,Director 4,Director 4,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,5,1,D,Director 5,Director 5,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,6,1,D,Director 6,Director 6,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,7,1,D,Director 7,Director 7,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,8,1,D,Director 8,Director 8,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,9,1,D,Director 9,Director 9,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,10,1,D,Director 10,Director 10,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,11,1,D,Director 11,Director 11,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,1,12,1,D,Director 12,Director 12,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,2,0,2,P,Appointment of Pricewaterhousecoopers LLP as auditor - FRENCH,Appointment of Pricewaterhousecoopers LLP as auditor - FRENCH,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,3,0,3,P,To pass an ordinary resolution providing the required annual approval of the Company s Incentive Stock Option Plan.,To pass an ordinary resolution providing the required annual approval of the Company s Incentive Stock Option Plan.,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,4,0,4,P,Shareholder Proposal No. 1,Shareholder Proposal No. 1,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,5,0,5,P,Shareholder Proposal No. 2,Shareholder Proposal No. 2,NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,6/6/2024 0:00,S,CA        ,6,0,6,P,To transact such other business that may be brought properly before the Meeting and any adjournment or postponement of the Meeting.,To transact such other business that may be brought properly before the Meeting and any adjournment or postponement of the Meeting.,NULL,NULL,3/13/2024 4:12,NULL
Private Equity Holding AG,6/3/2024 10:00,A,CH        ,2,0,REG,P,"I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING","I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING",NULL,NULL,3/13/2024 4:12,NULL
EPLST1,6/6/2024 0:00,A,US        ,1,3,1,D,Sue Smith,Sue Smith,NULL,NULL,3/13/2024 4:12,NULL
EPLST1,6/6/2024 0:00,A,US        ,1,2,1,D,Leo Messi,Leo Messi,NULL,NULL,3/13/2024 4:12,NULL
EPLST1,6/6/2024 0:00,A,US        ,1,1,1,D,John Doe,John Doe,NULL,NULL,3/13/2024 4:12,NULL
EPLST1,6/6/2024 0:00,A,US        ,1,0,1,D,DIRECTOR,DIRECTOR,NULL,NULL,3/13/2024 4:12,NULL
EPLST1,6/6/2024 0:00,A,US        ,2,0,2,P,"Disclose Charitable Contributions of $2,000 or More","Disclose Charitable Contributions of $2,000 or More",NULL,NULL,3/13/2024 4:12,NULL
EPLST1,6/6/2024 0:00,A,US        ,3,0,3,P,"Disclose Charitable Contributions of $3,000 or More","Disclose Charitable Contributions of $3,000 or More",NULL,NULL,3/13/2024 4:12,NULL
EPLST1,6/6/2024 0:00,A,US        ,4,0,4,P,"Disclose Charitable Contributions of $4,000 or More","Disclose Charitable Contributions of $4,000 or More",NULL,NULL,3/13/2024 4:12,NULL
Canadian Income Management Trust,5/24/2024 0:00,S,CA        ,1,0,1,P,Election of directors,Election of directors,NULL,NULL,3/4/2024 8:19,NULL
Canadian Income Management Trust,5/24/2024 0:00,S,CA        ,2,0,2,P,Appointment of Ernst & Young LLP as auditors for the ensuing year and authorize the directors to set their remuneration.,Appointment of Ernst & Young LLP as auditors for the ensuing year and authorize the directors to set their remuneration.,NULL,NULL,3/4/2024 8:19,NULL
Canadian Income Management Trust,5/24/2024 0:00,S,CA        ,1,0,1,P,Election of directors - FRENCH,Election of directors - FRENCH,NULL,NULL,3/4/2024 8:19,NULL
Canadian Income Management Trust,5/24/2024 0:00,S,CA        ,2,0,2,P,Appointment of Ernst & Young LLP as auditors for the ensuing year and authorize the directors to set their remuneration.,Appointment of Ernst & Young LLP as auditors for the ensuing year and authorize the directors to set their remuneration.,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,1,0,1,P,CALL TO ORDER,CALL TO ORDER,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,2,0,2,P,CERTIFICATION OF NOTICE AND QUORUM,CERTIFICATION OF NOTICE AND QUORUM,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,3,0,3,P,"APPROVAL OF THE MINUTES OF THE ANNUAL MEETING OF STOCKHOLDERS HELD ON MAY 30, 2023","APPROVAL OF THE MINUTES OF THE ANNUAL MEETING OF STOCKHOLDERS HELD ON MAY 30, 2023",NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,4,0,4,P,REPORT OF THE PRESIDENT AND CHIEF EXECUTIVE OFFICER,REPORT OF THE PRESIDENT AND CHIEF EXECUTIVE OFFICER,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,5,0,5,P,APPROVAL OF THE 2023 AUDITED CONSOLIDATED FINANCIAL STATEMENTS,APPROVAL OF THE 2023 AUDITED CONSOLIDATED FINANCIAL STATEMENTS,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,6,0,6,P,RATIFICATION OF ACTS OF THE BOARD AND MANAGEMENT,RATIFICATION OF ACTS OF THE BOARD AND MANAGEMENT,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,7,0,7,P,ELECTION OF DIRECTORS FOR THE ENSUING YEAR,ELECTION OF DIRECTORS FOR THE ENSUING YEAR,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,8,0,8,P,APPOINTMENT OF EXTERNAL AUDITORS,APPOINTMENT OF EXTERNAL AUDITORS,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,9,0,9,P,OTHER BUSINESS THAT MAY PROPERLY BROUGHT BEFORE THE MEETING,OTHER BUSINESS THAT MAY PROPERLY BROUGHT BEFORE THE MEETING,NULL,NULL,3/4/2024 8:19,NULL
Manila Electric Company,5/28/2024 10:00,A,PH        ,10,0,10,P,ADJOURNMENT,ADJOURNMENT,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,1,0,O.1,P,TO APPOINT AND/OR RE-ELECT THE FOLLOWING DIRECTOR WHO RETIRE BY ROTATION:     BONGIKHAYA QAMA,TO APPOINT AND/OR RE-ELECT THE FOLLOWING DIRECTOR WHO RETIRE BY ROTATION:     BONGIKHAYA QAMA,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,2,0,O.2,P,TO APPOINT AND/OR RE-ELECT THE FOLLOWING DIRECTOR WHO RETIRE BY ROTATION:     STEPHEN NTHITE,TO APPOINT AND/OR RE-ELECT THE FOLLOWING DIRECTOR WHO RETIRE BY ROTATION:     STEPHEN NTHITE,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,3,0,O.3,P,TO APPOINT AND/OR RE-ELECT THE FOLLOWING DIRECTOR WHO RETIRE BY ROTATION:     MEMBATHISI MDLADLANA,TO APPOINT AND/OR RE-ELECT THE FOLLOWING DIRECTOR WHO RETIRE BY ROTATION:     MEMBATHISI MDLADLANA,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,4,0,O.4,P,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE: WILLEM RAUBENHEIMER,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE: WILLEM RAUBENHEIMER,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,5,0,O.5,P,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE:        GAAMIEM COLBIE,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE:        GAAMIEM COLBIE,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,6,0,O.6,P,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE:        BONGIKHAYA QAMA,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE:        BONGIKHAYA QAMA,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,7,0,O.7,P,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE:        STEPHEN NTHITE,TO APPOINT AND/OR RE-ELECT THE MEMBER OF THE AUDIT AND RISK COMMITTEE:        STEPHEN NTHITE,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,8,0,O.8,P,"TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     CARIN-LEE GEUKING-COHAUSZ","TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     CARIN-LEE GEUKING-COHAUSZ",NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,9,0,O.9,P,"TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     AZIZA AMOD","TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     AZIZA AMOD",NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,10,0,O.10,P,"TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     MEMBATHISI MDLADLANA","TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     MEMBATHISI MDLADLANA",NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,11,0,O.11,P,"TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     BONGIKHAYA QAMA","TO APPOINT THE MEMBER OF THE SOCIAL, ETHICS AND TRANSFORMATION COMMITTEE:     BONGIKHAYA QAMA",NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,12,0,O.12,P,THE APPOINTMENT OF CROWE JHB AND THAWT INC. AS THE JOINT INDEPENDENT AUDITORS OF THE COMPANY FOR THE ENSUING FINANCIAL YEAR,THE APPOINTMENT OF CROWE JHB AND THAWT INC. AS THE JOINT INDEPENDENT AUDITORS OF THE COMPANY FOR THE ENSUING FINANCIAL YEAR,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,13,0,O.13,P,CONTROL OF AUTHORISED BUT UNISSUED  B  ORDINARY SHARES,CONTROL OF AUTHORISED BUT UNISSUED  B  ORDINARY SHARES,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,14,0,O.14,P,APPROVAL TO ISSUE  B  ORDINARY SHARES AND/OR OPTIONS FOR CASH,APPROVAL TO ISSUE  B  ORDINARY SHARES AND/OR OPTIONS FOR CASH,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,15,0,NB.15,P,NON-BINDING ADVISORY VOTE ON THE REMUNERATION POLICY,NON-BINDING ADVISORY VOTE ON THE REMUNERATION POLICY,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,16,0,NB.16,P,NON-BINDING ADVISORY VOTE ON THE IMPLEMENTATION OF THE,NON-BINDING ADVISORY VOTE ON THE IMPLEMENTATION OF THE,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,17,0,NB.17,P,DIRECTORS  AUTHORITY TO SIGN DOCUMENTATION,DIRECTORS  AUTHORITY TO SIGN DOCUMENTATION,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,18,0,S.1,P,TO APPROVE THE REMUNERATION OF THE NON-EXECUTIVE DIRECTORS,TO APPROVE THE REMUNERATION OF THE NON-EXECUTIVE DIRECTORS,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,19,0,S.2,P,TO APPROVE INTER-COMPANY FINANCIAL ASSISTANCE,TO APPROVE INTER-COMPANY FINANCIAL ASSISTANCE,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,20,0,S.3,P,TO APPROVE FINANCIAL ASSISTANCE FOR THE SUBSCRIPTION OR PURCHASE OF SHARES IN THE COMPANY OR IN A RELATED OR INTER-RELATED COMPANY,TO APPROVE FINANCIAL ASSISTANCE FOR THE SUBSCRIPTION OR PURCHASE OF SHARES IN THE COMPANY OR IN A RELATED OR INTER-RELATED COMPANY,NULL,NULL,3/4/2024 8:19,NULL
African Equity Empowerment Investments Limited,5/27/2024 14:00,A,ZA        ,21,0,S.4,P,APPROVAL FOR THE COMPANY OR ITS SUBSIDIARIES TO REPURCHASE SHARES OF THE      COMPANY,APPROVAL FOR THE COMPANY OR ITS SUBSIDIARIES TO REPURCHASE SHARES OF THE      COMPANY,NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,1,0,1,P,CALL TO ORDER,CALL TO ORDER,NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,2,0,2,P,PROOF OF SERVICE OF NOTICE,PROOF OF SERVICE OF NOTICE,NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,3,0,3,P,CERTIFICATION OF PRESENCE OF QUORUM,CERTIFICATION OF PRESENCE OF QUORUM,NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,4,0,4,P,"APPROVAL OF THE MINUTES OF THE PREVIOUS MEETING HELD ON MAY 26, 2023","APPROVAL OF THE MINUTES OF THE PREVIOUS MEETING HELD ON MAY 26, 2023",NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,5,0,5,P,REPORT OF MANAGEMENT,REPORT OF MANAGEMENT,NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,6,0,6,P,"PRESENTATION OF THE MANAGEMENT REPORT AND RATIFICATION OF THE AUDITED         FINANCIAL STATEMENTS AS OF DECEMBER 31, 2023","PRESENTATION OF THE MANAGEMENT REPORT AND RATIFICATION OF THE AUDITED         FINANCIAL STATEMENTS AS OF DECEMBER 31, 2023",NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,7,0,7,P,"RATIFICATION OF ALL ACTS OF THE BOARD OF DIRECTORS AND MANAGEMENT FOR THE     PERIOD OF JANUARY 1, 2023 TO DECEMBER 31, 2023 ADOPTED IN THE ORDINARY COURSE OF BUSINESS","RATIFICATION OF ALL ACTS OF THE BOARD OF DIRECTORS AND MANAGEMENT FOR THE     PERIOD OF JANUARY 1, 2023 TO DECEMBER 31, 2023 ADOPTED IN THE ORDINARY COURSE OF BUSINESS",NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,8,0,8,P,"ELECTION OF DIRECTORS, INCLUDING INDEPENDENT DIRECTORS, FOR THE YEAR 2024","ELECTION OF DIRECTORS, INCLUDING INDEPENDENT DIRECTORS, FOR THE YEAR 2024",NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,9,0,9,P,APPOINTMENT OF EXTERNAL AUDITORS,APPOINTMENT OF EXTERNAL AUDITORS,NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,10,0,10,P,CONSIDERATION OF SUCH OTHER MATTERS AS MAY PROPERLY COME BEFORE THE MEETING,CONSIDERATION OF SUCH OTHER MATTERS AS MAY PROPERLY COME BEFORE THE MEETING,NULL,NULL,3/4/2024 8:19,NULL
Converge Information and Communications Technology Solutions Inc,5/31/2024 14:00,A,PH        ,11,0,11,P,ADJOURNMENT,ADJOURNMENT,NULL,NULL,3/4/2024 8:19,NULL
Novavest Real Estate AG,3/20/2024 10:30,A,CH        ,2,0,REGI,P,"I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING","I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING",NULL,NULL,3/4/2024 8:19,NULL
Amarc Resources Ltd.,3/21/2024 14:00,A,CA        ,2,0,1.1,P,ELECTION OF DIRECTOR: ROBERT A. DICKINSON,ELECTION OF DIRECTOR: ROBERT A. DICKINSON,NULL,NULL,3/4/2024 8:19,NULL
Amarc Resources Ltd.,3/21/2024 14:00,A,CA        ,3,0,1.2,P,ELECTION OF DIRECTOR: DIANE NICOLSON,ELECTION OF DIRECTOR: DIANE NICOLSON,NULL,NULL,3/4/2024 8:19,NULL
Amarc Resources Ltd.,3/21/2024 14:00,A,CA        ,4,0,1.3,P,ELECTION OF DIRECTOR: SCOTT COUSENS,ELECTION OF DIRECTOR: SCOTT COUSENS,NULL,NULL,3/4/2024 8:19,NULL
Amarc Resources Ltd.,3/21/2024 14:00,A,CA        ,5,0,1.4,P,ELECTION OF DIRECTOR: BARRY COUGHLAN,ELECTION OF DIRECTOR: BARRY COUGHLAN,NULL,NULL,3/4/2024 8:19,NULL
Amarc Resources Ltd.,3/21/2024 14:00,A,CA        ,6,0,2,P,"TO APPOINT DE VISSER GRAY LLP, CHARTERED ACCOUNTANTS AS AUDITORS OF THE       COMPANY FOR THE ENSUING YEAR","TO APPOINT DE VISSER GRAY LLP, CHARTERED ACCOUNTANTS AS AUDITORS OF THE       COMPANY FOR THE ENSUING YEAR",NULL,NULL,3/4/2024 8:19,NULL
Amarc Resources Ltd.,3/21/2024 14:00,A,CA        ,7,0,3,P,"TO RATIFY AND APPROVE THE COMPANY S NEW SHARE OPTION PLAN, AS DESCRIBED IN    THE INFORMATION CIRCULAR PREPARED FOR THE MEETING","TO RATIFY AND APPROVE THE COMPANY S NEW SHARE OPTION PLAN, AS DESCRIBED IN    THE INFORMATION CIRCULAR PREPARED FOR THE MEETING",NULL,NULL,3/4/2024 8:19,NULL
Aston Bay Holdings Ltd,3/28/2024 11:00,A,CA        ,2,0,1,P,TO SET THE NUMBER OF DIRECTORS AT FIVE (5),TO SET THE NUMBER OF DIRECTORS AT FIVE (5),NULL,NULL,3/4/2024 8:19,NULL
