PROPOSAL_LONGTEXT,Research_Issue_Code
"STATUTORY APPOINTMENTS: RENEWAL OF THE APPOINTMENT OF BRUNO DURIEUX, JUAN     CLARKE, IAIN MCGOWAN, JACQUES ELVINGER, GODFREY ABEL AND JEAN-PHILIPPE        CLAESSENS AS DIRECTORS OF THE COMPANY, UNTIL NEXT ANNUAL GENERAL MEETING OF   THE SHAREHOLDERS",5101
"APPROVE REMUNERATION OF DIRECTORS OF KWD 84,000 FOR THE FISCAL YEAR ENDED     31/12/2023",5500
APPROVE EXTERNAL SHARIAH AUDITOR REPORT FOR THE FISCAL YEAR ENDED 31/12/2023,5759
Approval of the corporate management during the 2023 financial year.,5700
"RESOLUTION ON THE NUMBER OF MEMBERS OF THE BOARD OF DIRECTORS: THE            SHAREHOLDERS  NOMINATION BOARD PROPOSES THAT A CHAIRMAN, A VICE CHAIRMAN AND  FOUR (4) ORDINARY MEMBERS BE ELECTED TO THE COMPANY S BOARD OF DIRECTORS",5170
AMEND ARTICLE 12 RE: PARAGRAPH 1,6180
AMEND ARTICLE 12 RE: REMOVE PARAGRAPH 2,6180
"ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR FISCAL YEAR ENDED DEC.  31, 2023",5030
ELECT DENISE PAULI PAVARINA AS INDEPENDENT DIRECTOR,5100
"AUTHORIZE INCREASE OF AUTHORIZED , ISSUED, AND PAID UP CAPITAL BY ISSUING     BONUS SHARES REPRESENTING 9 PERCENT OF CAPITAL AND AUTHORIZE THE BOARD TO     DISPOSE SHARES FRACTIONS AND AMEND TIMELINE",5010
APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,5500
APPROVE DISCHARGE OF BOARD AND PRESIDENT,5700
"UPDATING THE SHAREHOLDERS ON THE EXISTING BUSINESS AND THE RESULTS OF THE     ANALYSIS PROVIDED BY THE FINANCIAL ADVISERS REGARDING THE COMMERCIAL          OPERATIONS FUTURE, AND TO MAKE THE NECESSARY DECISIONS",6395
APPOINT AUDITORS AND FIX THEIR REMUNERATION FOR FY 2024,5220
ELECTION OF INSIDE DIRECTOR RYU DOOH YUNG,5100
TO RE-ELECT SUSIE ARNOTT AS A DIRECTOR OF THE COMPANY,5100
TO RE-ELECT ANGELA HENDERSON AS A DIRECTOR OF THE COMPANY,5100
TO APPROVE THE COMPANY DIVIDEND POLICY,5000
"GRANTING OF DISCHARGE (QUITUS) TO THE DIRECTORS, INCLUDING THOSE WHO          RESIGNED, IN RESPECT OF THEIR DUTIES CARRIED OUT DURING THE FINANCIAL YEAR",5700
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
"Consultative vote on the Annual Report on the Remuneration of Directors of Banco Bilbao Vizcaya Argentaria, S.A.",5600
PRESENTATION AND ADOPTION OF THE REMUNERATION REPORT FOR THE COMPANY S        GOVERNING BODIES,5600
AMEND ARTICLE 12 RE: ADD NEW PARAGRAPH 2,6180
"IN CASE ONE OF THE NOMINEES LEAVES THE FISCAL COUNCIL SLATE DUE TO A SEPARATE MINORITY ELECTION, AS ALLOWED UNDER ARTICLES 161 AND 240 OF THE BRAZILIAN     CORPORATE LAW, MAY YOUR VOTES STILL BE COUNTED FOR THE PROPOSED SLATE",5136
PROVISION OF GUARANTEE FOR A COMPANY,5960
TRANSFER OF SOME EQUITIES IN A CONTROLLED SUBSIDIARY AND WAIVER OF THE        PREEMPTIVE RIGHTS FOR CAPITAL INCREASE IN IT,6395
ELECTION OF OUTSIDE DIRECTOR: SEO SEUNG HWAN,5100
Approval of the allocation of results for the 2023 financial year,5000
"Delegation of powers to the Board of Directors, with the authority to substitute, in order to formalise, amend, interpret and execute the resolutions adopted by the Annual General Meeting.",5750
"The Extension Amendment Proposal - to amend the amended and restated certificate of incorporation (as the same has been amended prior to the date hereof, the  Certificate ) of Power & Digital Infrastructure Acquisition II Corp. (the  Company ) pursuant to amendments to the Certificate in the form set forth in paragraph 3 of Annex A to the accompanying Proxy Statement (such proposal, the  Extension Amendment Proposal ) to extend the date by which the Company must (1) consummate an initial ...(due to space limits, see proxy material for full proposal).",1188
ELECT DENISE AGUIAR ALVAREZ AS DIRECTOR,5100
ELECTION OF AUDIT COMMITTEE MEMBER: KIM YOUNG KI,5130
APPROVAL OF PARTIAL AMENDMENT TO ARTICLES OF INCORPORATION,6184
ELECTION OF OUTSIDE DIRECTOR CANDIDATES: CHOE NAN SEOL HEON,5100
AUTHORIZE SHARE REPURCHASE PROGRAM,5838
APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR THE FISCAL YEAR  ENDED 31/12/2023,5030
AUTHORIZE SHARE REPURCHASE PROGRAM OF UP TO 10 PERCENT OF ISSUED SHARE        CAPITAL,5896
RATIFY KPMG AUDITORES INDEPENDENTES AS INDEPENDENT FIRM TO APPRAISE PROPOSED  TRANSACTION,6201
AMEND ARTICLE 13,6180
ELECT SAMUEL MONTEIRO DOS SANTOS JUNIOR AS INDEPENDENT DIRECTOR,5100
ELECT MONICA PIRES DA SILVA AS FISCAL COUNCIL MEMBER AND LUDMILA DE MELO      SOUZA AS ALTERNATE APPOINTED BY MINORITY SHAREHOLDER,5136
ELECTION OF OUTSIDE DIRECTOR: KIM JONG YANG,5100
ELECTION OF AUDIT COMMITTEE MEMBER CANDIDATES: CHOE NAN SEOL HEON,5130
2024 CONTINUING CONNECTED TRANSACTION PLAN,5740
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
APPROVAL OF FINANCIAL STATEMENT,5031
"REELECT HARRI TAHKOLA, MIKKO SIURUAINEN, OLLI HYYPPA, JOHANNES KARJULA, ELINA TOURUNEN, SAMPSA LAINE AND ERIK TAHKOLA AS DIRECTORS",5101
APPROVAL OF FINANCIAL STATEMENT,5031
TO RECEIVE AND CONSIDER THE ANNUAL REPORT AND FINANCIAL STATEMENTS FOR THE    YEAR ENDED 30 NOVEMBER 2023,5030
APPROVE DISCONTINUING ALLOCATION TO THE OPTIONAL RESERVE,5844
APPOINT OR REAPPOINT AUDITORS AND AUTHORIZE BOARD TO FIX THEIR REMUNERATION   FOR THE FISCAL YEAR ENDING 31/12/2024,5220
AUTHORIZE DISTRIBUTION OF BONUS SHARES OF 9 PERCENT OF THE ISSUED AND PAID UP CAPITAL FOR THE FISCAL YEAR ENDED 31/12/2023 AND AUTHORIZE THE BOARD TO       DISPOSE SHARES FRACTIONS,5010
APPOINT OR REAPPOINT AUDITORS AND AUTHORIZE BOARD TO FIX THEIR REMUNERATION   FOR THE FISCAL YEAR ENDING 31/12/2024,5220
Appointment of Enrique Casanueva Nárdiz.,5100
Appointment of Cristina de Parias Halcón.,5100
"ELECTION OF THE CHAIRMAN, VICE CHAIRMAN AND MEMBERS OF THE BOARD OF           DIRECTORS: THE SHAREHOLDERS  NOMINATION BOARD PROPOSES THAT JYRI LUOMAKOSKI   BE ELECTED AS CHAIRMAN AND CASIMIR LINDHOLM AS VICE CHAIRMAN, SAMI LAINE AND  KERTTU TUOMAS BE RE-ELECTED AS MEMBERS AND LEENA VAINIOMAKI AND ANDERS        DAHLBLOM BE ELECTED AS NEW MEMBERS FOR A TERM OF OFFICE ENDING AT THE         CONCLUSION OF THE NEXT ANNUAL GENERAL MEETING FOLLOWING THEIR ELECTION. WITH  RESPECT TO THE ELECTION PROCEDURE OF THE MEMBERS OF THE BOARD OF DIRECTORS,   THE NOMINATION BOARD RECOMMENDS THAT THE SHAREHOLDERS TAKE A POSITION ON THE  PROPOSAL AS A WHOLE. IN PREPARING ITS PROPOSALS, THE NOMINATION BOARD, IN     ADDITION TO ENSURING THAT THE INDIVIDUAL NOMINEES FOR MEMBERSHIP OF THE BOARD OF DIRECTORS POSSESS THE REQUIRED COMPETENCES, HAS DETERMINED THAT THE        PROPOSED BOARD OF DIRECTORS AS A WHOLE ALSO HAS THE BEST POSSIBLE EXPERTISE   FOR THE COMPANY AND THAT THE COMPOSITION OF THE BOARD OF DIRECTORS MEETS ALL  OTHER REQUIREMENTS OF THE FINNISH CORPORATE GOVERNANCE CODE FOR LISTED        COMPANIES OF THE PRESENT MEMBERS OF THE BOARD, HARRI-PEKKA KAUKONEN, BARBARA  TOPOLSKA AND KEITH SILVERANG HAVE ANNOUNCED THAT THEY ARE NOT AVAILABLE FOR   RE-ELECTION TO THE BOARD OF DIRECTORS OF YIT CORPORATION FOR A NEW TERM. ALL  CANDIDATES HAVE CONSENTED TO BEING ELECTED AND ARE INDEPENDENT OF THE COMPANY AND OF ITS SIGNIFICANT SHAREHOLDERS WITH THE EXCEPTION OF ANDERS DAHLBLOM,    WHO IS DEPENDENT ON A SIGNIFICANT SHAREHOLDER OF THE COMPANY. ESSENTIAL       INFORMATION REGARDING THE PROPOSED MEMBERS, INCLUDING THE CVS AND ASSESSMENTS OF INDEPENDENCE, IS AVAILABLE ON THE COMPANY S WEBSITE AT                     WWW.YITGROUP.COM/AGM202",5101
"ELECTION OF THE AUDITOR: IT IS NOTED THAT THE ANNUAL GENERAL MEETING HELD ON  16 MARCH 2023 RESOLVED ON THE ELECTION OF THE AUDITOR AND ON THE REMUNERATION OF THE AUDITOR FOR THE FINANCIAL YEARS 2023 AND 2024. ERNST & YOUNG OY,       AUTHORISED PUBLIC ACCOUNTANTS, WAS ELECTED AS THE AUDITOR FOR THE FINANCIAL   YEAR 2024, WITH MIKKO RYTILAHTI, APA, SERVING AS THE CHIEF AUDITOR. IT WAS    ALSO RESOLVED THAT THE AUDITOR S FEE WAS TO BE PAID ACCORDING TO THEIR        INVOICE APPROVED BY THE COMPANY. IT IS FURTHER NOTED THAT IN ACCORDANCE WITH  THE TRANSITIONAL PROVISION OF THE ACT AMENDING THE LIMITED LIABILITY          COMPANIES ACT (1252/2023), ERNST & YOUNG OY, ELECTED AS THE AUDITOR FOR THE   FINANCIAL YEAR 2024, WILL ALSO ACT AS THE COMPANY S SUSTAINABILITY PARTNER    FOR THE FINANCIAL YEAR 2024. THE SUSTAINABILITY PARTNER S FEE WILL BE PAID    ACCORDING TO THEIR INVOICE APPROVED BY THE COMPANY",5200
AMEND ARTICLE 12,6180
ELECT OCTAVIO DE LAZARI JUNIOR AS DIRECTOR,5100
ELECTION OF EXECUTIVE AUDITOR PARK EON KYONG,5105
MISCELLANEOUS,6393
APPROVAL OF FINANCIAL STATEMENTS,5031
AUTHORIZE SHARE REPURCHASE PROGRAM OF UP TO 10 PERCENT OF ISSUED SHARE        CAPITAL,5896
"Approval of the non-financial information report of Banco Bilbao Vizcaya Argentaria, S.A. and that of its consolidated Group for the financial year ended 31 December 2023.",5032
"Approval of amendments to the articles of association and memorandum of association of the company, implementing the change of name of the company from  Medigus Ltd.  to  Xylo Technologies Ltd  or any other similar name which will be approved by the Israeli Registrar of Companies.",6180
AMEND ARTICLE 9 RE: LETTER F,6180
AMEND ARTICLE 13 RE: REMOVE PARAGRAPH 4,6180
FIX NUMBER OF DIRECTORS AT 11,5170
ELECTION OF AUDIT COMMITTEE MEMBER: SEO SEUNG HWAN,5130
APPOINT OR REAPPOINT OF AUDITORS AND AUTHORIZE BOARD TO FIX THEIR             REMUNERATION FOR THE FISCAL YEAR ENDING 31/12/2024,5220
APPROVE CORPORATE GOVERNANCE REPORT INCLUDING REMUNERATION SCHEDULE FOR BOARD MEMBERS AND EXECUTIVE MANAGEMENT FOR THE FISCAL YEAR ENDED 31/12/2023,5032
"APPROVE TRANSFER TO OPTIONAL RESERVE OF KWD 445,823",5000
AMENDMENTS TO THE MANAGEMENT RULES FOR THE EMPLOYEE STOCK OWNERSHIP PLAN,6193
APPROVE THE SECOND PORTION OF DIVIDEND OF KWD 0.010 PER SHARE FOR THE FISCAL  YEAR ENDED 31/12/2023,5000
AMEND ARTICLE 8,6180
AMEND ARTICLE 15,6180
ELECT ALEXANDRE DA SILVA GLUHER AS DIRECTOR,5100
ELECT MAURICIO MACHADO DE MINAS AS DIRECTOR,5100
ELECTION OF INSIDE DIRECTOR CANDIDATES: BAK JU HYEONG,5100
ELECTION OF INSIDE DIRECTOR CANDIDATES: HEO BYEONG HUN,5100
ELECTION OF OUTSIDE DIRECTOR,5100
ELECTION OF QI YE AS AN EXECUTIVE DIRECTOR,5100
APPROVE REMUNERATION REPORT (ADVISORY VOTE); APPROVE REMUNERATION POLICY AND  OTHER TERMS OF EMPLOYMENT FOR EXECUTIVE MANAGEMENT,5605
APPROVE ISSUANCE OF UP TO 2.2 MILLION SHARES WITHOUT PREEMPTIVE RIGHTS,5804
THE EXTENDED GUARANTEE PROVIDED FOR THE ABOVE CONTROLLED SUBSIDIARY AFTER THE EQUITY TRANSFER OF IT AND WAIVER OF THE PREEMPTIVE RIGHTS FOR CAPITAL         INCREASE IN IT CONSTITUTES A CONNECTED GUARANTEE,5960
APPROVE CORPORATE GOVERNANCE AND REMUNERATION REPORT AND AUDIT COMMITTEE      REPORT FOR THE FISCAL YEAR ENDED 31/12/2023,5032
APPROVE SPECIAL REPORT ON PENALTIES AND VIOLATIONS FOR THE FISCAL YEAR ENDED  31/12/2023,5759
AUTHORIZE ISSUANCE OF BONDS AND AUTHORIZE BOARD TO SET TERMS OF ISSUANCE,5900
CONNECTED GUARANTEE FOR A JOINT VENTURE,5960
PRESENTATION AND ADOPTION OF THE REMUNERATION POLICY FOR THE COMPANY S        GOVERNING BODIES,5605
"RESOLUTION ON THE REMUNERATION OF THE CHAIRMAN, VICE CHAIRMAN AND MEMBERS OF  THE BOARD OF DIRECTORS AND THE REMUNERATION OF THE NOMINATION BOARD",5505
APPROVE ALLOCATION OF INCOME AND DIVIDENDS,5000
AMEND ARTICLES 9 OF MEMORANDUM OF ASSOCIATION AND ARTICLE 5 OF ARTICLES OF    ASSOCIATION TO REFLECT CHANGES IN CAPITAL,6180
CANCELLATION OF REPURCHASED A-SHARES AND DECREASE OF THE COMPANY S REGISTERED CAPITAL,6395
ISSUANCE OF DEBT FINANCING INSTRUMENTS,5900
2024 PROPRIETARY INVESTMENT QUOTA,6395
APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR FY 2023,5030
TO AUTHORISE THE DIRECTORS TO ALLOT ORDINARY SHARES,5800
TO AUTHORISE THE COMPANY TO BUY BACK ITS OWN ORDINARY SHARES,5838
TO CONSIDER THE RE-APPOINTMENT OF THE STATUTORY AUDITORS,5200
TO CONSIDER THE RE-APPOINTMENT OF THE STATUTORY AUDITORS,5200
APPROVE BOARD REPORT ON COMPANY OPERATIONS FOR THE FISCAL YEAR ENDED          31/12/2023,5032
APPROVE AUDIT COMMITTEE REPORT FOR THE FISCAL YEAR ENDED 31/12/2023,5032
APPROVE TRANSFER OF 1 PERCENT OF NET INCOME TO KUWAIT FOUNDATION FOR THE      ADVANCEMENT OF SCIENCE,6310
AMEND ARTICLE 9 RE: ADD LETTER T,6180
APPROVE REMUNERATION OF FISCAL COUNCIL MEMBERS,5520
"APPROVE MONTHLY REMUNERATION OF DIRECTORS IN THE AMOUNT OF EUR 6,000 FOR      CHAIRMAN AND EUR 2,200 FOR OTHER DIRECTORS; APPROVE REIMBURSEMENT OF TRAVEL   EXPENSES",5505
APPROVE REMUNERATION OF DIRECTORS FOR FY 2023,5500
APPROVE DISCHARGE OF DIRECTORS FOR FY 2023,5700
APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,5500
AMENDMENT OF ARTICLES OF INCORPORTION,6180
AUTHORIZE ISSUANCE OF ALL TYPE OF BONDS AND AUTHORIZE BOARD TO ASSIGN A       DELEGATE TO EXECUTE AND TAKE ALL THE NECESSARY ACTIONS FOR THE APPROVED       RESOLUTION,5900
APPOINT OR REAPPOINT EXTERNAL SHARIAH AUDITORS AND AUTHORIZE BOARD TO FIX     THEIR REMUNERATION FOR THE FISCAL YEAR ENDING 31/12/2024,5220
AUTHORIZE BOARD TO DISTRIBUTE SEMI ANNUAL DIVIDENDS FOR FY 2024,5000
AMEND ARTICLE 9 RE: ADD LETTER J,6180
ELECT WALTER LUIS BERNARDES ALBERTONI AS INDEPENDENT DIRECTOR,5100
ELECTION OF OUTSIDE DIRECTOR: KIM YOUNG KI,5100
AMENDMENTS TO THE MANAGEMENT MEASURES ON PERFORMANCE APPRAISAL AND            REMUNERATION FOR SENIOR MANAGEMENT,6193
ELECTION OF AUDIT COMMITTEE MEMBER WHO IS AN OUTSIDE DIRECTOR: BAK YEONG SEOK,5130
FIX NUMBER OF DIRECTORS AT SEVEN,5170
AUTHORIZE BOARD TO TAKE ALL THE NECESSARY ACTIONS AND PROCEDURES TO EFFECT    THE APPROVED RESOLUTION,5750
TO RE-ELECT CECILIA MCANULTY AS A DIRECTOR OF THE COMPANY,5100
TO AUTHORISE THE DIRECTORS TO DETERMINE THE REMUNERATION OF THE AUDITORS,5230
STATUTORY APPOINTMENTS: RENEWAL OF THE APPOINTMENT OF DELOITTE AUDIT AS       INDEPENDENT AUDITOR OF THE COMPANY UNTIL NEXT ANNUAL GENERAL MEETING OF THE   SHAREHOLDERS,5200
ELECT OR REELECT FATWA AND SHARIAH SUPERVISORY BOARD MEMBERS AND AUTHORIZE    BOARD TO FIX THEIR REMUNERATION FOR THE FISCAL YEAR ENDING 31/12/2024,5136
"Approval of the reduction of the share capital of the Bank, in up to a maximum amount of 10% of the share capital as of the date of the resolution, through the redemption of own shares purchased for the purpose of being redeemed, delegating to the Board of Directors the implementation of the share capital reduction, totally or partially, on one or more occasions.",5820
REMOVE ARTICLES 18 AND 19,6184
AMEND ARTICLE 23,6180
"READING AND, WHERE APPROPRIATE, APPROVAL OF THE MINUTES OF THE MEETING",5759
ELECTION OF CUI YONG AS A NON-EXECUTIVE DIRECTOR,5100
ELECTION OF OUTSIDE DIRECTOR: BAE SEONG RYE,5100
ELECTION OF OUTSIDE DIRECTOR: HONG DONG PYO,5100
PROVISION OF GUARANTEE FOR THE COMPREHENSIVE CREDIT LINE OF SUBSIDIARIES,5960
"APPROVE REMUNERATION OF DIRECTORS AND ITS COMMITTEES OF KWD 1,308,119 FOR FY  2023",5500
Re-election of Jaime Félix Caruana Lacorte.,5100
Re-election of Jan Paul Marie Francis Verplancke.,5100
"I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING",9998
AMEND ARTICLE 9 RE: LETTER I,6180
ELECT FISCAL COUNCIL MEMBERS,5136
APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,5500
APPROVAL OF LIMIT OF REMUNERATION FOR AUDITORS,5520
APPROVE DIVIDENDS OF AED 0.20 PER SHARE FOR FY 2023,5000
APPROVAL OF THE ANNUAL ACCOUNTS OF THE COMPANY FOR THE FINANCIAL YEAR,5030
RATIFY RELATED PARTY TRANSACTIONS FOR THE FISCAL YEAR ENDED 31/12/2023 AND    AUTHORIZE BOARD TO CONDUCT RELATED PARTY TRANSACTIONS UNTIL THE NEXT GENERAL  ASSEMBLY MEETING DATE FOR THE FISCAL YEAR ENDING 31/12/2024,5740
APPROVE BOARD REPORT ON COMPANY OPERATIONS FOR THE FISCAL YEAR ENDED          31/12/2023,5032
"Approval of a maximum level of variable remuneration of up to 200% of the fixed component of the total remuneration for a certain group of employees whose professional activities have a significant impact on Banco Bilbao Vizcaya Argentaria, S.A. s or on its Group s risk profile.",5695
AUTHORISATION OF THE BOARD OF DIRECTORS TO RESOLVE ON THE REPURCHASE OF OWN   SHARES,5838
APPROVAL OF FINANCIAL STATEMENT,5031
AMENDMENTS TO THE LETTER OF AUTHORIZATION TO THE BOARD,6193
ELECTION OF INSIDE DIRECTOR KIM DAE YOO,5100
APPROVE ALLOCATION OF INCOME AND DIVIDENDS OF EUR 0.19 PER SHARE,5000
APPROVAL OF FINANCIAL STATEMENTS,5031
AUTHORIZE DISTRIBUTION OF INTERIM DIVIDENDS FOR FY 2024,5000
APPROVE DIVIDENDS OF KWD 0.006 PER SHARE FOR THE FISCAL YEAR ENDED 31/12/2023 AND AUTHORIZE THE BOARD TO AMEND THE DISTRIBUTION TIMELINE IF NECESSARY,5000
ELECT CHAIRMAN OF MEETING,5759
PREPARE AND APPROVE LIST OF SHAREHOLDERS,5759
APPROVE AGENDA OF MEETING,5759
APPROVE AGREEMENT TO ABSORB BRAM BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,6201
ELECT RUBENS AGUIAR ALVAREZ AS DIRECTOR,5100
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
APPROVAL OF FINANCIAL STATEMENTS,5031
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS,5030
APPROVE REMUNERATION OF AUDITORS,5230
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR FY 2023,5030
TO RECEIVE AND APPROVE THE DIRECTORS REMUNERATION IMPLEMENTATION REPORT FOR   THE YEAR ENDED 30 NOVEMBER 2023,5500
APPROVAL OF THE REPORTS OF THE BOARD OF DIRECTORS AND THE INDEPENDENT AUDITOR OF THE COMPANY RELATING TO THE FINANCIAL YEAR OF THE COMPANY ENDED 30         SEPTEMBER 2023 (THE  FINANCIAL YEAR ),5030
TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE STATUTORY AUDITORS,5230
TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE STATUTORY AUDITORS,5230
APPROVE ABSENCE OF DIVIDENDS FOR THE SECOND HALF OF THE FISCAL YEAR ENDED     31/12/2023 AND THE DISTRIBUTED INTERIM DIVIDEND OF KWD 0.028 PER SHARE IS     ADEQUATE,5000
APPROVE ABSENCE OF DIRECTORS REMUNERATION FOR THE FISCAL YEAR ENDED           31/12/2023,5500
APPROVE DISCHARGE OF DIRECTORS FOR THE FISCAL YEAR ENDED 31/12/2023,5700
AMEND ARTICLE 6 RE: AUTHORIZED CAPITAL,5824
AMEND ARTICLE 21,6180
ELECTION OF AUDIT COMMITTEE MEMBER: KIM JONG YANG,5130
APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,5500
ELECTION OF YANG BINGBING AS AN EXECUTIVE DIRECTOR,5100
ACCEPT CONSOLIDATED FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR THE FISCAL YEAR ENDED 31/12/2023,5030
APPROVE SPECIAL REPORT ON VIOLATIONS AND PENALTIES FOR THE FISCAL YEAR ENDED  31/12/2023,5759
"APPROVE TRANSFER TO STATUTORY RESERVE OF KWD 445,823",5000
"APPROVE RELATED PARTY TRANSACTIONS RE: CHAIRMAN, EXECUTIVE MANAGEMENT,        DIRECTORS, REPRESENTATIVES AND RELATIVES TRANSACTIONS FOR THE FISCAL YEAR     ENDED 31/12/2023",5740
"APPROVE FINANCING DIRECTORS AND RELATED PARTIES, AND APPROVE TRANSACTIONS     WITH RELATED PARTIES FOR FY 2024",5740
AUTHORIZE ISSUANCE OF CAPITAL OR FUNDING SUKUK OR OTHER SHARIAH COMPLIANT     DEBT FUNDING INSTRUMENTS AND AUTHORIZE BOARD TO SET TERMS OF ISSUANCE,5900
Re-election of Belén Garijo López.,5100
Re-election of Ana Cristina Peralta Moreno.,5100
ELECT PAULO ROBERTO SIMOES DA CUNHA AS INDEPENDENT DIRECTOR,5100
APPOINTMENT OF DELEGATES,5759
AMENDMENT OF ARTICLES OF INCORPORATION,6185
ELECTION OF AUDIT COMMITTEE MEMBER WHO IS AN OUTSIDE DIRECTOR: HONG DONG PYO,5130
TO RE-ELECT SIMON CORDERY AS A DIRECTOR OF THE COMPANY,5100
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
APPROVE DISCHARGE OF DIRECTORS FOR THE FISCAL YEAR ENDED 31/12/2023,5700
ACKNOWLEDGE PROPER CONVENING OF MEETING,5759
AMEND ARTICLE 16 OF BYLAWS RE: BOARD OF DIRECTORS,6180
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR THE FISCAL YEAR ENDED   31/12/2023,5030
